date,sst_actual,sst_anomaly
2000-01-01,28.5445,-0.3482
2000-02-01,28.3332,-0.4635
2000-03-01,28.5280,-0.5530
2000-04-01,29.1469,-0.3612
2000-05-01,29.2042,-0.2686
2000-06-01,28.5267,-0.4837
2000-07-01,28.0575,-0.3752
2000-08-01,28.0552,-0.0718
2000-09-01,28.3902,0.0766
2000-10-01,28.8306,0.0186
2000-11-01,29.2874,0.0046
2000-12-01,28.8544,-0.3840
2001-01-01,28.5386,-0.3541
2001-02-01,28.6185,-0.1782
2001-03-01,28.9453,-0.1357
2001-04-01,29.3463,-0.1618
2001-05-01,29.4237,-0.0492
2001-06-01,28.9465,-0.0638
2001-07-01,28.5008,0.0682
2001-08-01,28.0403,-0.0867
2001-09-01,28.3686,0.0549
2001-10-01,28.7710,-0.0410
2001-11-01,28.9064,-0.3765
2001-12-01,28.7084,-0.5300
2002-01-01,28.4912,-0.4015
2002-02-01,28.2905,-0.5061
2002-03-01,28.7873,-0.2937
2002-04-01,29.4517,-0.0564
2002-05-01,29.4114,-0.0614
2002-06-01,28.8966,-0.1138
2002-07-01,28.3201,-0.1126
2002-08-01,27.9379,-0.1891
2002-09-01,27.9488,-0.3648
2002-10-01,28.5769,-0.2351
2002-11-01,28.9643,-0.3186
2002-12-01,29.3496,0.1112
2003-01-01,28.8693,-0.0234
2003-02-01,28.7104,-0.0862
2003-03-01,28.8227,-0.2583
2003-04-01,29.4376,-0.0705
2003-05-01,29.2913,-0.1815
2003-06-01,28.8794,-0.1310
2003-07-01,28.0767,-0.3560
2003-08-01,27.9054,-0.2215
2003-09-01,28.2234,-0.0903
2003-10-01,28.7538,-0.0583
2003-11-01,29.1032,-0.1796
2003-12-01,28.6583,-0.5801
2004-01-01,28.5355,-0.3572
2004-02-01,28.4336,-0.3630
2004-03-01,28.8587,-0.2223
2004-04-01,29.5292,0.0211
2004-05-01,29.1852,-0.2876
2004-06-01,28.6978,-0.3126
2004-07-01,27.8885,-0.5441
2004-08-01,27.6164,-0.5106
2004-09-01,27.9079,-0.4057
2004-10-01,28.3216,-0.4905
2004-11-01,29.0841,-0.1987
2004-12-01,29.0103,-0.2281
2005-01-01,28.8600,-0.0327
2005-02-01,28.9503,0.1537
2005-03-01,29.2747,0.1937
2005-04-01,29.2476,-0.2605
2005-05-01,29.2287,-0.2442
2005-06-01,28.9653,-0.0451
2005-07-01,28.5694,0.1368
2005-08-01,28.3686,0.2416
2005-09-01,28.5762,0.2626
2005-10-01,29.0377,0.2257
2005-11-01,29.2113,-0.0715
2005-12-01,29.1397,-0.0987
2006-01-01,28.6406,-0.2521
2006-02-01,28.7187,-0.0779
2006-03-01,28.9511,-0.1299
2006-04-01,29.1791,-0.3290
2006-05-01,29.3842,-0.0887
2006-06-01,28.8925,-0.1179
2006-07-01,28.1920,-0.2406
2006-08-01,27.7570,-0.3700
2006-09-01,27.6894,-0.6243
2006-10-01,27.9246,-0.8874
2006-11-01,28.8124,-0.4704
2006-12-01,29.2038,-0.0346
2007-01-01,28.9675,0.0748
2007-02-01,28.8980,0.1013
2007-03-01,28.8329,-0.2481
2007-04-01,29.1673,-0.3408
2007-05-01,29.1734,-0.2995
2007-06-01,28.9251,-0.0853
2007-07-01,28.0824,-0.3502
2007-08-01,27.7122,-0.4148
2007-09-01,28.0129,-0.3007
2007-10-01,28.7801,-0.0320
2007-11-01,29.1077,-0.1752
2007-12-01,29.2032,-0.0352
2008-01-01,28.8080,-0.0847
2008-02-01,28.7424,-0.0542
2008-03-01,28.8477,-0.2333
2008-04-01,29.1841,-0.3240
2008-05-01,28.9103,-0.5626
2008-06-01,28.4152,-0.5951
2008-07-01,27.9757,-0.4569
2008-08-01,27.8514,-0.2755
2008-09-01,28.2938,-0.0198
2008-10-01,28.7992,-0.0129
2008-11-01,29.1884,-0.0945
2008-12-01,29.1327,-0.1057
2009-01-01,28.8961,0.0034
2009-02-01,28.6678,-0.1289
2009-03-01,29.0979,0.0169
2009-04-01,29.3959,-0.1122
2009-05-01,29.4574,-0.0155
2009-06-01,29.2526,0.2422
2009-07-01,28.6682,0.2356
2009-08-01,28.3465,0.2195
2009-09-01,28.4634,0.1498
2009-10-01,28.8313,0.0193
2009-11-01,29.1809,-0.1019
2009-12-01,29.0378,-0.2006
2010-01-01,28.7810,-0.1117
2010-02-01,28.9461,0.1495
2010-03-01,29.3037,0.2227
2010-04-01,29.7973,0.2892
2010-05-01,29.8253,0.3524
